标题：信用资产
营业部名称：华泰证券(27)
股东：素养鸣石量化18号

------------------------------
担保资产:113863394.42 	 融资合约金额:0.00 	 现金资产:5606283.91
融资限额:100000000.00 	 合约负债总额:29015467.46 	 融券合约金额:27117532.10
可取金额:4106298.91 	 融券限额:100000000.00 	 净资产:84847926.96
融资合约利息:0.00 	 可用还款金额:4106298.91 	 融资额度:72882467.90
维持担保比例:3.9242 	 融券合约利息:0.00 	 可买券还券资金:5606283.91
融券额度:72882467.90 	 科创板集中度:0.000000 	 可用保证金:43627761.09
合约费用:0.00 	 可买担保品资金:4106298.91 	 融资合约盈亏:0.00
可转出资产:26816992.04 	 其他费用:0.00 	 信用买标的资金:4106298.91
融券合约盈亏:-1242585.40 	 待还款总额:0.00 	 币种名称:人民币

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比例()	盈亏(约)	市值(约)	交易市场	股东帐户	在途数量	货币单位	
300458	全志科技	600	600	0	29.291	29.329	31.200	6.38	1121.306	18720.000	深圳Ａ	0680028125	0	人民币	
300462	华铭智能	4000	4000	0	22.406	22.432	22.200	-1.04	-928.784	88800.000	深圳Ａ	0680028125	0	人民币	
300463	迈克生物	1400	1400	0	48.152	48.209	51.560	6.95	4686.023	72184.000	深圳Ａ	0680028125	0	人民币	
300464	星徽精密	200	200	0	9.712	9.747	9.520	-2.33	-45.342	1904.000	深圳Ａ	0680028125	0	人民币	
300465	高伟达	3400	3400	0	12.397	12.412	12.550	1.12	469.849	42670.000	深圳Ａ	0680028125	0	人民币	
300468	四方精创	1000	1000	0	32.749	32.788	32.600	-0.57	-187.468	32600.000	深圳Ａ	0680028125	0	人民币	
300470	中密控股	100	100	0	27.314	27.392	28.020	2.30	62.742	2802.000	深圳Ａ	0680028125	0	人民币	
300471	厚普股份	100	100	0	8.155	8.213	8.600	4.74	38.623	860.000	深圳Ａ	0680028125	0	人民币	
300474	景嘉微	800	800	0	61.163	61.235	64.340	5.07	2480.863	51472.000	深圳Ａ	0680028125	0	人民币	
300475	聚隆科技	100	100	0	8.186	8.244	8.420	2.14	17.541	842.000	深圳Ａ	0680028125	0	人民币	
300476	胜宏科技	4200	4200	0	23.491	23.519	23.280	-1.01	-1001.576	97776.000	深圳Ａ	0680028125	0	人民币	
300477	合纵科技	1252	1252	0	6.792	6.803	6.800	-0.04	-3.668	8513.600	深圳Ａ	0680028125	0	人民币	
