账户,证券代码,证券名称,买卖,成交量,成交均价,成交金额
"7900000219","300177.SZ","中海达","买入","15700","11.5837579617834","181865"
"7900000219","601677.SH","明泰铝业","买入","300","11.09","3327"
"7900000219","603126.SH","中材节能","买入","400","4.81","1924"
"7900000219","002045.SZ","国光电器","买入","1800","9.58388888888889","17251"
"7900000219","300054.SZ","鼎龙股份","买入","1600","20.78375","33254"
"7900000219","600327.SH","大东方","买入","1300","4.5","5850"
"7900000219","300375.SZ","鹏翎股份","买入","1200","4.04","4848"
"7900000219","300002.SZ","神州泰岳","买入","6700","7.20149253731343","48250"
"7900000219","601086.SH","国芳集团","买入","700","5.4","3780"
"7900000219","300522.SZ","世名科技","卖出","1500","28.008","42012"
"9912900268","002428.SZ","云南锗业","卖出","400","18.37","7348"
"8009205008","600118.SH","中国卫星","融券卖出","25000","39.411","985275"
"9912900268","002428.SZ","云南锗业","买入","493","18.18","8962.74"
"7900000219","002822.SZ","中装建设","买入","500","10.03","5015"
"7900000219","603035.SH","常熟汽饰","买入","300","12.35","3705"
"7900000219","300419.SZ","浩丰科技","买入","500","6.742","3371"
"7900000219","300297.SZ","蓝盾股份","买入","35300","4.25699716713881","150272"
"7900000219","300281.SZ","金明精机","买入","200","8.105","1621"
"7900000219","603028.SH","赛福天","买入","300","12.03","3609"
"7900000219","002395.SZ","双象股份","买入","300","18.98","5694"
"7900000219","601678.SH","滨化股份","买入","3300","5.35484848484848","17671"
"7900000219","002938.SZ","鹏鼎控股","买入","1000","50.657","50657"
"7900000219","300256.SZ","星星科技","买入","4200","7.27","30534"
"7900000219","002637.SZ","赞宇科技","买入","11200","13.6032142857143","152356"
"7900000219","600754.SH","锦江酒店","买入","1100","40.8718181818182","44959"
"7900000219","300760.SZ","迈瑞医疗","买入","1000","342.716","342716"
"7900000219","600189.SH","吉林森工","买入","2400","4.47","10728"
"7900000219","300387.SZ","富邦股份","买入","400","9.225","3690"
"7900000219","600057.SH","厦门象屿","买入","11800","6.79033898305085","80126"
"7900000219","601058.SH","赛轮轮胎","买入","700","4.16","2912"
"7900000219","300035.SZ","中科电气","买入","300","8.35","2505"
"7900000219","300196.SZ","长海股份","买入","100","14.56","1456"
"7900000219","000637.SZ","茂化实华","买入","2700","4.67","12609"
"7900000219","600493.SH","凤竹纺织","买入","300","5.5","1650"
"7900000219","603615.SH","茶花股份","买入","100","9.25","925"
"7900000219","002556.SZ","辉隆股份","买入","4000","8.69","34760"
"7900000219","000813.SZ","德展健康","买入","1100","6.8","7480"
