账户,备注,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比率,参考盈亏,SymbolFull
7900000219,ct12,603421,鼎信通讯,1100,1100,1100,0,0,0,10.64,10.89,0.55%,11979.00,2.39%,279.40,603421.SH
7900000219,ct12,603444,吉比特,500,500,500,0,0,0,603.27,620.00,1.38%,310000.00,2.77%,8363.00,603444.SH
7900000219,ct12,603456,九洲药业,3500,3500,3500,0,0,0,33.76,32.96,-1.32%,115360.00,-2.36%,-2782.50,603456.SH
7900000219,ct12,603458,勘设股份,300,400,300,0,100,0,17.06,15.86,-0.63%,6344.00,-7.04%,-480.12,603458.SH
7900000219,ct12,603466,风语筑,1600,1600,0,0,1600,1600,19.33,19.17,0.89%,30672.00,-0.81%,-251.03,603466.SH
7900000219,ct12,603477,振静股份,3200,3100,0,0,3100,3200,15.18,15.25,-0.78%,47275.00,0.47%,220.26,603477.SH
7900000219,ct12,603486,科沃斯,100,100,100,0,0,0,31.18,31.60,2.76%,3160.00,1.33%,41.60,603486.SH
7900000219,ct12,603496,恒为科技,1400,1400,1400,0,0,0,23.15,21.87,0.32%,30618.00,-5.53%,-1793.40,603496.SH
7900000219,ct12,603499,翔港科技,600,900,600,0,300,0,11.96,12.54,-1.49%,11286.00,4.84%,521.48,603499.SH
7900000219,ct12,603501,韦尔股份,3600,3600,3600,0,0,0,202.73,205.64,1.10%,740304.00,1.43%,10472.40,603501.SH
7900000219,ct12,603505,金石资源,200,200,200,0,0,0,21.92,24.54,-2.15%,4908.00,11.94%,523.40,603505.SH
7900000219,ct12,603506,南都物业,300,400,300,0,100,0,26.92,26.99,1.28%,10796.00,0.26%,28.43,603506.SH
7900000219,ct12,603507,振江股份,100,100,100,0,0,0,29.37,30.56,4.12%,3056.00,4.04%,118.60,603507.SH
7900000219,ct12,603508,思维列控,100,100,100,0,0,0,34.48,34.35,0.59%,3435.00,-0.36%,-12.50,603508.SH
7900000219,ct12,603515,欧普照明,500,500,500,0,0,0,30.89,30.00,-1.54%,15000.00,-2.89%,-446.00,603515.SH
7900000219,ct12,603516,淳中科技,100,100,100,0,0,0,35.84,36.29,0.28%,3629.00,1.27%,45.50,603516.SH
7900000219,ct12,603517,绝味食品,1400,1400,1400,0,0,0,86.79,85.70,-2.50%,119980.00,-1.26%,-1531.60,603517.SH
7900000219,ct12,603518,锦泓集团,300,400,300,0,100,0,7.15,7.49,5.79%,2996.00,4.74%,135.60,603518.SH
7900000219,ct12,603527,众源新材,1200,1200,1200,0,0,0,10.70,11.16,1.18%,13392.00,4.32%,554.40,603527.SH
7900000219,ct12,603528,多伦科技,1600,1600,1600,0,0,0,10.64,10.64,-0.75%,17024.00,-0.01%,-1.60,603528.SH
7900000219,ct12,603533,掌阅科技,1500,1500,1500,0,0,0,32.48,33.75,2.27%,50625.00,3.92%,1908.00,603533.SH
7900000219,ct12,603535,嘉诚国际,900,900,900,0,0,0,24.11,26.50,6.38%,23850.00,9.91%,2150.10,603535.SH
7900000219,ct12,603536,惠发食品,600,600,600,0,0,0,14.28,14.16,-0.14%,8496.00,-0.85%,-73.20,603536.SH
7900000219,ct12,603538,美诺华,100,0,0,0,0,100,--,45.73,-4.25%,0.00,--,0.00,603538.SH
7900000219,ct12,603556,海兴电力,100,100,100,0,0,0,14.70,15.03,2.11%,1503.00,2.23%,32.80,603556.SH
7900000219,ct12,603557,起步股份,3000,3000,0,0,3000,3000,8.36,10.18,7.38%,30540.00,21.75%,5456.70,603557.SH
7900000219,ct12,603558,健盛集团,1300,500,500,0,0,800,12.79,9.23,-0.86%,4615.00,-27.86%,-1781.95,603558.SH
7900000219,ct12,603559,中通国脉,200,200,200,0,0,0,20.11,20.25,0.75%,4050.00,0.71%,28.40,603559.SH
7900000219,ct12,603566,普莱柯,4000,4000,4000,0,0,0,44.79,27.68,2.06%,110720.00,-38.20%,-68432.00,603566.SH
7900000219,ct12,603567,珍宝岛,100,200,100,0,100,0,13.35,13.58,0.59%,2716.00,1.74%,46.51,603567.SH
7900000219,ct12,603577,汇金通,1300,1300,1300,0,0,0,11.46,11.39,0.18%,14807.00,-0.63%,-93.60,603577.SH
